Quarter,Miles,NumTicketsOrdered,AirlineCompany,PricePerTicket,OriginState,DestState,log_miles,log_price
2,1990.0,3.0,Delta Air Lines (DL),288.0,Utah,New York,7.595889917718538,5.662960480135946
2,1522.0,1.0,Delta Air Lines (DL),548.5,California,Minnesota,7.3277805384216315,6.307187279715285
2,2300.0,1.0,Southwest Airlines (WN),218.5,Massachusetts,Arizona,7.7406644019172415,5.3867860145356445
1,414.0,4.0,Southwest Airlines (WN),153.0,Nevada,California,6.025865973825314,5.030437921392435
3,1295.0,1.0,Southwest Airlines (WN),553.5,Texas,Pennsylvania,7.166265974133638,6.316261752148692
2,1416.0,4.0,United Airlines (UA),138.28,New York,Texas,7.255591274253665,4.929280615053424
2,845.0,1.0,Allegiant Air (G4),75.0,Nevada,Montana,6.739336627357174,4.31748811353631
4,920.0,1.0,American Airlines (AA),383.5,Pennsylvania,Florida,6.824373670043086,5.949339620807311
2,1721.0,3.0,American Airlines (AA),189.0,Illinois,Washington,7.450660796211539,5.241747015059643
3,369.0,1.0,Southwest Airlines (WN),166.5,Massachusetts,Maryland,5.910796644040527,5.1149953094204985
4,1900.0,1.0,Delta Air Lines (DL),356.0,California,Kentucky,7.549609165154532,5.87493073085203
2,2527.0,1.0,American Airlines (AA),293.93,California,Connecticut,7.834788107388194,5.683341643751415
4,2588.0,1.0,Alaska Airlines (AS),546.0,California,Massachusetts,7.858640655620791,6.302618975744905
4,399.0,2.0,Alaska Airlines (AS),219.0,Alaska,Alaska,5.988961416889864,5.389071729816501
3,345.0,2.0,Allegiant Air (G4),69.5,Nevada,Nevada,5.84354441703136,4.241326752570746
4,293.0,1.0,Southwest Airlines (WN),160.5,Texas,Texas,5.680172609017068,5.07829394257007
4,1313.0,1.0,American Airlines (AA),535.0,California,Texas,7.180069874302796,6.282266746896006
4,901.0,1.0,United Airlines (UA),231.0,Virginia,Florida,6.803505257608338,5.442417710521793
4,882.0,5.0,Allegiant Air (G4),132.0,Pennsylvania,Florida,6.782192056006791,4.882801922586371
3,1005.0,1.0,United Airlines (UA),202.5,Florida,Illinois,6.912742820493176,5.310739886546594
2,679.0,3.0,United Airlines (UA),197.0,Washington,California,6.520621127558696,5.2832037287379885
4,1541.0,2.0,Delta Air Lines (DL),395.5,Arizona,Georgia,7.340186835320115,5.980150787207709
4,2402.0,1.0,Alaska Airlines (AS),217.5,California,Pennsylvania,7.784057002639929,5.382198850528739
4,474.0,1.0,United Airlines (UA),123.0,Illinois,New York,6.161207321695077,4.812184355372417
1,2106.0,5.0,Southwest Airlines (WN),144.5,Maryland,Nevada,7.652545692693921,4.973279507552487
4,577.0,2.0,Southwest Airlines (WN),162.5,Maryland,Georgia,6.3578422665081,5.090678001769792
4,529.0,1.0,American Airlines (AA),452.0,New Jersey,North Carolina,6.270988431858299,6.113682179832232
4,1489.0,1.0,Southwest Airlines (WN),396.0,Missouri,California,7.305860032684009,5.981414211254481
2,1185.0,1.0,JetBlue Airways (B6),362.0,Florida,Massachusetts,7.077498053569231,5.8916442118257715
3,349.0,3.0,Southwest Airlines (WN),212.5,Illinois,Minnesota,5.855071922202427,5.358941988364472
4,1096.0,2.0,Delta Air Lines (DL),304.0,New York,Florida,6.999422467507961,5.717027701406222
1,1744.0,1.0,United Airlines (UA),165.0,Illinois,California,7.463936604468925,5.10594547390058
2,592.0,1.0,American Airlines (AA),85.0,Colorado,Texas,6.3835066348840055,4.442651256490317
4,2089.0,1.0,Southwest Airlines (WN),190.76,Nevada,Virginia,7.644440761556566,5.251016093430024
3,1956.0,1.0,United Airlines (UA),267.5,Virginia,Arizona,7.578656850594762,5.589119566336061
4,1927.0,1.0,Delta Air Lines (DL),400.0,Pennsylvania,Utah,7.563719668414366,5.991464547107982
1,1786.0,1.0,American Airlines (AA),199.87,Florida,Arizona,7.487733761436444,5.29766715520645
2,1747.0,1.0,Southwest Airlines (WN),459.0,Nevada,Georgia,7.465655310134056,6.129050210060545
2,2527.0,1.0,American Airlines (AA),238.5,Connecticut,California,7.834788107388194,5.474369310328396
3,834.0,1.0,Southwest Airlines (WN),88.0,Florida,Pennsylvania,6.726233402358747,4.477336814478207
2,237.0,1.0,American Airlines (AA),350.0,Oklahoma,Texas,5.4680601411351315,5.857933154483459
2,511.0,1.0,American Airlines (AA),488.0,Tennessee,North Carolina,6.236369590203704,6.1903154058531475
2,1389.0,6.0,American Airlines (AA),255.0,Texas,New York,7.236339342754344,5.541263545158426
2,2173.0,2.0,Southwest Airlines (WN),194.0,Nevada,Florida,7.6838639802564295,5.267858159063328
4,1183.0,1.0,Southwest Airlines (WN),170.93,Wisconsin,Florida,7.075808863978387,5.141254115968176
1,921.0,1.0,American Airlines (AA),479.0,Virginia,Florida,6.825460036255307,6.171700597410915
2,500.0,1.0,American Airlines (AA),179.0,Michigan,North Carolina,6.214608098422191,5.187385805840755
4,488.0,9.0,Southwest Airlines (WN),101.5,Nevada,California,6.1903154058531475,4.620058798481842
2,2704.0,2.0,JetBlue Airways (B6),195.0,Massachusetts,California,7.902487437162855,5.272999558563747
3,594.0,1.0,Delta Air Lines (DL),208.0,Michigan,Georgia,6.386879319362645,5.337538079701318
3,1597.0,3.0,United Airlines (UA),265.5,Massachusetts,Texas,7.3758821482150125,5.581614840681993
4,2253.0,2.0,United Airlines (UA),216.5,Virginia,California,7.720017940432244,5.377590547442544
1,937.0,1.0,United Airlines (UA),363.5,Florida,New Jersey,6.842683282238422,5.895779296973574
1,1032.0,1.0,JetBlue Airways (B6),458.5,New York,Florida,6.939253946041508,6.127960291696519
2,655.0,1.0,Southwest Airlines (WN),171.5,Florida,Tennessee,6.484635235635252,5.144583266605995
2,1481.0,1.0,Delta Air Lines (DL),203.5,Utah,Michigan,7.300472814267799,5.31566600488265
4,332.0,8.0,Delta Air Lines (DL),204.0,Georgia,Tennessee,5.805134968916488,5.318119993844216
1,1022.0,1.0,Delta Air Lines (DL),411.0,Florida,Michigan,6.92951677076365,6.018593214496234
4,862.0,8.0,United Airlines (UA),190.0,Texas,Colorado,6.759255270663693,5.247024072160486
2,932.0,1.0,Allegiant Air (G4),113.0,Florida,Kentucky,6.837332814685591,4.727387818712341
4,1440.0,1.0,American Airlines (AA),113.9,Arizona,Illinois,7.272398392570047,4.735320870453137
4,341.0,1.0,Southwest Airlines (WN),150.5,Texas,Texas,5.831882477283517,5.01396308418893
4,334.0,1.0,United Airlines (UA),101.0,Illinois,Minnesota,5.811140992976701,4.61512051684126
4,1626.0,4.0,JetBlue Airways (B6),173.0,New York,Colorado,7.3938782901077555,5.153291594497779
3,528.0,2.0,Delta Air Lines (DL),250.0,Michigan,Minnesota,6.269096283706261,5.521460917862246
3,2565.0,1.0,United Airlines (UA),271.63,New Jersey,California,7.84971375760487,5.604440846138421
4,594.0,5.0,Delta Air Lines (DL),285.5,Georgia,Michigan,6.386879319362645,5.654242029096065
3,2504.0,3.0,Hawaiian Airlines (HA),431.0,Hawaii,California,7.825644732219989,6.066108090103747
2,1749.0,1.0,Spirit Airlines (NK),238.0,Nevada,Michigan,7.466799475018602,5.472270673671475
1,1538.0,1.0,American Airlines (AA),383.0,South Carolina,Texas,7.338238150065589,5.948034989180646
3,867.0,9.0,JetBlue Airways (B6),55.0,Massachusetts,Illinois,6.7650389767805414,4.007333185232471
1,549.0,1.0,Delta Air Lines (DL),318.0,Michigan,Connecticut,6.3080984415095305,5.762051382780177
3,226.0,1.0,American Airlines (AA),284.5,Georgia,North Carolina,5.420534999272286,5.6507332535663855
2,787.0,1.0,JetBlue Airways (B6),251.0,Florida,Maryland,6.668228248417403,5.5254529391317835
4,2406.0,1.0,United Airlines (UA),220.99,Pennsylvania,Oregon,7.785720896534624,5.398117451625214
1,1481.0,1.0,Delta Air Lines (DL),436.18,Utah,Michigan,7.300472814267799,6.07805500218908
1,775.0,1.0,Southwest Airlines (WN),242.5,Texas,Colorado,6.652863029353347,5.491001710377538
2,2349.0,1.0,Alaska Airlines (AS),211.0,Hawaii,California,7.761744984658913,5.351858133476067
2,395.0,3.0,Southwest Airlines (WN),278.0,Tennessee,Illinois,5.978885764901122,5.627621113690637
4,908.0,1.0,Alaska Airlines (AS),81.0,California,Washington,6.811244378601294,4.394449154672439
1,1587.0,2.0,Delta Air Lines (DL),208.0,Arizona,Georgia,7.369600720526409,5.337538079701318
1,1182.0,2.0,American Airlines (AA),51.0,Florida,Illinois,7.074963197966044,3.9318256327243257
1,2688.0,1.0,Alaska Airlines (AS),432.0,Hawaii,Washington,7.89655270164304,6.068425588244111
4,363.0,3.0,American Airlines (AA),336.0,Ohio,Pennsylvania,5.8944028342648505,5.817111159963204
2,453.0,1.0,Delta Air Lines (DL),181.0,Pennsylvania,Michigan,6.115892125483034,5.198497031265826
1,2465.0,2.0,JetBlue Airways (B6),263.0,California,New York,7.80994708647679,5.572154032177765
1,1747.0,2.0,Southwest Airlines (WN),147.0,Nevada,Georgia,7.465655310134056,4.990432586778736
2,449.0,1.0,American Airlines (AA),285.5,North Carolina,Pennsylvania,6.1070228877422545,5.654242029096065
2,1303.0,2.0,United Airlines (UA),265.5,California,Texas,7.172424577124845,5.581614840681993
1,541.0,1.0,American Airlines (AA),149.0,North Carolina,New York,6.293419278846481,5.003946305945459
4,1504.0,1.0,United Airlines (UA),239.89,California,Texas,7.315883504509785,5.4801804849418305
1,2565.0,2.0,Virgin America (VX),145.5,California,New Jersey,7.84971375760487,4.980176086611547
3,1105.0,1.0,Southwest Airlines (WN),313.5,Florida,Texas,7.007600613951853,5.7477993600729755
3,1027.0,3.0,Delta Air Lines (DL),248.0,Georgia,Maine,6.934397209928558,5.5134287461649825
4,946.0,6.0,Delta Air Lines (DL),117.5,Georgia,Massachusetts,6.852242569051878,4.7664383335842135
1,1250.0,5.0,United Airlines (UA),242.0,Illinois,Utah,7.1308988302963465,5.488937726156687
3,1522.0,1.0,Delta Air Lines (DL),297.43,Minnesota,California,7.3277805384216315,5.6951789031820335
1,228.0,1.0,JetBlue Airways (B6),316.0,New York,Virginia,5.429345628954441,5.755742213586912
4,1065.0,1.0,Spirit Airlines (NK),207.0,New Jersey,Florida,6.970730078143525,5.332718793265369
3,1162.0,1.0,American Airlines (AA),244.5,North Carolina,Texas,7.057897937411856,5.499215308914927
2,904.0,1.0,Southwest Airlines (WN),210.5,Missouri,North Carolina,6.806829360392176,5.349485653122436
1,1121.0,6.0,JetBlue Airways (B6),141.5,Florida,Massachusetts,7.02197642307216,4.952299717083292
3,821.0,6.0,Allegiant Air (G4),75.5,Ohio,Florida,6.710523109452428,4.324132656254979
2,925.0,1.0,United Airlines (UA),612.0,Texas,Illinois,6.829793737512425,6.416732282512326
3,468.0,4.0,American Airlines (AA),115.0,Florida,North Carolina,6.148468295917647,4.74493212836325
2,2106.0,3.0,Spirit Airlines (NK),68.0,Nevada,Maryland,7.652545692693921,4.219507705176107
4,1379.0,2.0,Spirit Airlines (NK),76.5,California,Texas,7.229113877793302,4.33729074083249
1,704.0,1.0,Southwest Airlines (WN),255.5,Virginia,Illinois,6.556778356158042,5.543222409643759
2,562.0,1.0,Southwest Airlines (WN),159.5,Virginia,Tennessee,6.331501849893691,5.072043922224899
2,792.0,1.0,Delta Air Lines (DL),397.0,Indiana,Florida,6.674561391814426,5.983936280687191
4,550.0,1.0,American Airlines (AA),245.0,Texas,Missouri,6.309918278226516,5.501258210544727
1,883.0,1.0,Southwest Airlines (WN),102.21,Texas,Colorado,6.78332520060396,4.627029520340985
3,2454.0,1.0,United Airlines (UA),340.01,California,New Jersey,7.805474625270857,5.828975028942396
4,689.0,1.0,Delta Air Lines (DL),276.0,Georgia,Texas,6.535241271013659,5.62040086571715
4,1389.0,2.0,American Airlines (AA),98.5,Texas,New York,7.236339342754344,4.590056548178043
4,950.0,5.0,JetBlue Airways (B6),175.5,New York,Florida,6.856461984594587,5.167639042905921
4,2173.0,1.0,Southwest Airlines (WN),300.0,Florida,Nevada,7.6838639802564295,5.703782474656201
4,1708.0,5.0,Southwest Airlines (WN),156.5,Oregon,Missouri,7.443078374348516,5.0530560099802075
2,1546.0,2.0,Southwest Airlines (WN),120.5,Florida,Colorado,7.343426229147367,4.791649752930709
1,707.0,1.0,Allegiant Air (G4),61.5,Florida,Kentucky,6.561030665896573,4.119037174812473
4,641.0,1.0,American Airlines (AA),160.0,Florida,Texas,6.46302945692067,5.075173815233827
4,1069.0,3.0,Delta Air Lines (DL),106.0,Colorado,Kentucky,6.974478911025045,4.663439094112067
